lat,long
41.085396,-73.530767
41.086098,-73.530538
41.048796,-73.519366
41.048654,-73.519377
41.093796,-73.524567
41.093834,-73.52549
41.110484,-73.531927
41.110611,-73.530106
41.125895,-73.529341
41.127369,-73.529746
41.125051,-73.530583
41.085358,-73.529763
41.086062,-73.529834
41.065086,-73.613384
41.065131,-73.615019
41.058075,-73.693133
41.059296,-73.694273
41.287431,-73.51223
41.286556,-73.511896
41.286067,-73.501634
41.284975,-73.501424
41.286141,-73.500122
41.132182,-73.554632
41.129747,-73.554531
41.025429,-73.663848
41.025629,-73.663287
41.060382,-73.553622
41.05968,-73.553544
41.10214,-73.533483
41.102096,-73.532867
41.072067,-73.652664
41.073376,-73.64898
41.047604,-73.668652
41.049289,-73.669471
41.047675,-73.668261
41.050897,-73.662672
41.051221,-73.662729
41.070248,-73.655912
41.071096,-73.656372
41.05215,-73.668218
41.052448,-73.668468
41.103106,-73.53343
41.021797,-73.662572
41.021304,-73.662384
41.019769,-73.661847
41.033345,-73.673
41.034194,-73.673683
41.086646,-73.530423
41.025575,-73.643912
41.026897,-73.643471
41.026378,-73.642981
41.033021,-73.658549
41.032081,-73.660678
41.032067,-73.632931
41.032397,-73.633371
41.032504,-73.632908
41.032697,-73.632071
41.031204,-73.630914
41.030597,-73.630671
41.028326,-73.601619
41.029197,-73.600669
41.025109,-73.605622
41.025457,-73.602775
41.028506,-73.604553
41.029434,-73.604557
41.031536,-73.631495
41.027277,-73.605616
41.028204,-73.601961
41.029328,-73.600074
41.029708,-73.599874
41.029597,-73.600269
41.160736,-73.536328
41.164875,-73.533528
41.036486,-73.564333
41.037197,-73.564468
41.036816,-73.565953
41.029613,-73.560221
41.030025,-73.560423
41.029222,-73.561203
41.033997,-73.562368
41.030486,-73.559019
41.025359,-73.567336
41.025297,-73.567768
41.023827,-73.566886
41.119244,-73.654508
41.115564,-73.646405
41.119488,-73.635347
41.012305,-73.653393
41.012097,-73.653671
41.012242,-73.655018
41.012239,-73.654474
41.011808,-73.654393
41.011697,-73.654671
41.024954,-73.666085
41.024939,-73.666254
41.079096,-73.623471
41.079096,-73.626271
41.077996,-73.623271
41.078096,-73.626971
41.070696,-73.622671
41.070696,-73.626463
41.056696,-73.62247
41.061396,-73.626271
41.032997,-73.62447
41.033797,-73.62517
41.122696,-73.618671
41.127512,-73.621315
41.1196,-73.621987
41.119396,-73.619271
41.115296,-73.617471
41.122696,-73.617571
41.112596,-73.617371
41.116396,-73.612771
41.116366,-73.612898
41.115296,-73.611871
41.123196,-73.60887
41.124377,-73.613687
41.124576,-73.606434
41.125376,-73.607106
41.12448,-73.602098
41.139809,-73.574451
41.138457,-73.575595
41.123596,-73.60067
41.125496,-73.60027
41.120696,-73.59877
41.119296,-73.60057
41.120196,-73.60087
41.117696,-73.60187
41.12024,-73.59861
41.113996,-73.59797
41.117796,-73.59377
41.117696,-73.59227
41.123696,-73.59047
41.121396,-73.59207
41.121396,-73.59087
41.121696,-73.59037
41.119896,-73.59117
41.123896,-73.58747
41.120696,-73.58757
41.122496,-73.58487
41.120396,-73.58697
41.118596,-73.58917
41.123096,-73.584369
41.124796,-73.58457
41.123396,-73.583969
41.115796,-73.582369
41.124396,-73.580369
41.124196,-73.583069
41.121196,-73.579769
41.115096,-73.582269
41.115973,-73.581486
41.114196,-73.579969
41.116096,-73.580869
41.124996,-73.578369
41.124196,-73.577969
41.118496,-73.579769
41.120224,-73.579921
41.117264,-73.579825
41.118796,-73.577469
41.117496,-73.577069
41.115096,-73.576869
41.117896,-73.572169
41.113096,-73.574669
41.050328,-73.670363
41.051597,-73.671572
41.105196,-73.620771
41.108396,-73.618771
41.094904,-73.632133
41.094934,-73.630527
41.105396,-73.623871
41.104396,-73.621071
41.103796,-73.617071
41.091396,-73.620671
41.093162,-73.620725
41.107096,-73.615971
41.106196,-73.61037
41.100496,-73.617971
41.097112,-73.620847
41.093796,-73.616671
41.094598,-73.61641
41.089896,-73.621571
41.089396,-73.621671
41.088596,-73.619371
41.084996,-73.622671
41.087796,-73.619371
41.095769,-73.612891
41.111196,-73.61057
41.109296,-73.60607
41.109596,-73.60707
41.108596,-73.60617
41.105596,-73.60917
41.108423,-73.606344
41.103696,-73.60717
41.103296,-73.60687
41.102796,-73.60737
41.097296,-73.60347
41.100009,-73.605008
41.102396,-73.60927
41.097778,-73.608338
41.104296,-73.60367
41.104372,-73.603212
41.092696,-73.61207
41.093808,-73.604306
41.087648,-73.608546
41.095808,-73.602802
41.09696,-73.600594
41.087392,-73.604162
41.093904,-73.603122
41.09392,-73.60189
41.092796,-73.60057
41.090896,-73.59987
41.090624,-73.59989
41.088544,-73.599954
41.087396,-73.59987
41.083996,-73.622271
41.082296,-73.622971
41.081396,-73.623471
41.08432,-73.618611
41.085312,-73.618755
