long,lat
-114.19001,35.999986
-114.220963,35.992924
-114.189562,35.979831
-114.178149,35.946599
-114.176901,35.930134
-114.173385,35.928646
-114.172199,35.926575
-114.16987,35.92384
-114.171473,35.923657
-114.224553,35.996267
-114.182701,35.947005
-114.170695,35.919534
-114.055939,35.999624
-114.068554,35.999556
-114.067061,35.999567
-114.063795,35.999533
-114.061289,35.99951
-114.050627,36.002285
-114.052337,36.00073
-114.06709,35.999283
-114.063767,35.998962
-114.071567,35.998871
-114.071996,36.000375
-114.072862,35.998848
-114.093883,35.957225
-114.072678,35.998851
-114.084386,36.000375
-114.08386,35.998842
-114.056024,35.998572
-114.060803,35.998567
-114.059009,35.998298
-114.06709,35.998276
-114.06999,35.99855
-114.05304,35.998114
-114.072777,35.997704
-114.07151,35.997704
-114.07351,35.997704
-114.083848,35.997683
-114.059572,35.997063
-114.050589,35.997313
-114.036746,36.004658
-114.068554,35.996789
-114.063739,35.996582
-114.077339,35.996628
-114.076933,35.996626
-114.086096,35.996078
-114.07151,35.995599
-114.077282,35.995576
-114.075225,35.995555
-114.091727,35.994956
-114.07579,35.994775
-114.068639,35.994066
-114.077226,35.993974
-114.074579,35.993951
-114.070919,35.993906
-114.08863,35.993515
-114.092149,35.993492
-114.069596,35.993082
-114.075987,35.992555
-114.06968,35.99251
-114.072073,35.992121
-114.06861,35.991847
-114.076015,35.991594
-114.09274,35.991432
-114.08908,35.991433
-114.087728,35.991273
-114.070243,35.990589
-114.087869,35.990312
-114.073228,35.989994
-114.09198,35.990723
-114.075902,35.989605
-114.06863,35.98996
-114.092317,35.988938
-114.086552,35.989451
-114.070441,35.988484
-114.071139,35.988776
-114.076043,35.988163
-114.097272,35.988114
-114.092823,35.987383
-114.089867,35.987086
-114.071567,35.986745
-114.068639,35.986241
-114.07289,35.985601
-114.093245,35.984889
-114.0953,35.985163
-114.097202,35.98403
-114.099691,35.983538
-114.089415,35.98338
-114.077197,35.98258
-114.075817,35.982168
-114.070553,35.981985
-114.068695,35.981985
-114.097129,35.981822
-114.087405,35.98675
-114.087188,35.981447
-114.088827,35.981425
-114.091441,35.98148
-114.08643,35.980428
-114.068687,35.981483
-114.080037,35.980466
-114.077266,35.981459
-114.077422,35.979011
-114.086458,35.978918
-114.091497,35.978414
-114.071309,35.977489
-114.084578,35.977335
-114.07745,35.975761
-114.086373,35.975669
-114.07745,35.974068
-114.086429,35.974044
-114.077506,35.972558
-114.086429,35.972534
-114.077506,35.970956
-114.086428,35.97091
-114.0864,35.969376
-114.086428,35.967706
-114.090368,35.966104
-114.100078,35.965987
-114.09321,35.965829
-114.092253,35.965829
-114.094702,35.964661
-114.094843,35.965897
-114.092028,35.964593
-114.09183,35.96322
-114.092928,35.963129
-114.100088,35.964045
-114.086511,35.961642
-114.103256,35.961662
-114.091492,35.961596
-114.093968,35.960383
-114.100076,35.960358
-114.091295,35.960292
-114.100103,35.958802
-114.093687,35.958781
-114.093574,35.958117
-114.086533,35.958538
-114.103283,35.957268
-114.094248,35.955806
-114.093235,35.955829
-114.10013,35.955782
-114.103338,35.955827
-114.086509,35.955762
-114.090421,35.955098
-114.091948,35.956785
-114.093039,35.955072
-114.086509,35.954389
-114.096959,35.954374
-114.103225,35.954362
-114.100129,35.952853
-114.09118,35.952832
-114.086537,35.95281
-114.086939,35.952824
-114.09512,35.952397
-114.079756,35.958737
-114.086283,35.952261
-114.091067,35.952123
-114.086787,35.939836
-114.073281,35.951782
-114.079902,35.952158
-114.096076,35.949719
-114.082371,35.94828
-114.087042,35.948188
-114.072184,35.948075
-114.068666,35.952354
-114.084904,35.94725
-114.087632,35.945076
-114.070552,35.944849
-114.097706,35.944296
-114.107076,35.945666
-114.089288,35.946498
-114.069342,35.94343
-114.09008,35.94297
